id,text,author_id,created_at,geo
447504794971037696,What do you think about the things happening with Russia and Ukraine?,269868011,2014-03-22 22:47:12+00:00,
447504787836518400,Ukraine plans to die with Russia in atomic bombs. Ukraine has many nuclear warheads planted by Putin in last five years.,74428783,2014-03-22 22:47:10+00:00,
447504766755938304,RT @EuropeanUnews: Ukraine signs EU trade pact as Russia finalizes Crimea annexation - CNN http://t.co/OnMJVkXJRp,26470418,2014-03-22 22:47:05+00:00,
447504755896483840,March Madness: #1 seeds go to the U.S. and Russia in Ukraine | Communities Digital News - New http://t.co/kgca2oUMnA via @CommDigiNews,444274499,2014-03-22 22:47:02+00:00,
447504748368134144,"RT @RKacinskas: ""In the End, we will remember not the words of our enemies, but the silence of our friends.” – #martinlutherking | #Ukraine…",1161377864,2014-03-22 22:47:00+00:00,
447504734904418305,RT @AFP: UPDATE: Key Ukraine base stormed in Russia's Crimea march http://t.co/3dWQ2HGQbW,48779872,2014-03-22 22:46:57+00:00,
447504721247752192,Catherine Ashton says she doesn’t understand why Russia doesn’t support democracy in Ukraine. http://t.co/G0FacgYp7d Such a mystery!,18686907,2014-03-22 22:46:54+00:00,
447504697512181761,"RT @RKacinskas: ""In the End, we will remember not the words of our enemies, but the silence of our friends.” – #martinlutherking | #Ukraine…",856501890,2014-03-22 22:46:48+00:00,
447504697285672960,"RT @MarquardtA: Today in #Crimea, two #Ukraine bases taken by #Russia forces, along with a sub and a ship. Unclear what else remains in Ukr…",2218576910,2014-03-22 22:46:48+00:00,
447504672396292096,RT @Wikistrat: WS Sr. Analyst @MarkGaleotti: “The Ukrainian military has evolved really quite a long way from its Soviet roots.” http://t.c…,7155782,2014-03-22 22:46:42+00:00,
447504657124823041,China Takes Sides? Sues Ukraine For $3bn Loan Repayment: It is widely known that Russia is owed bill... http://t.co/afXzyTuK4m #abbottmd,26370910,2014-03-22 22:46:39+00:00,
447504645611470848,ZH: China Takes Sides? Sues Ukraine For $3bn Loan Repayment: It is widely known that Russia is owed billions b... http://t.co/CTiHWACsT5,64954818,2014-03-22 22:46:36+00:00,
447504627961835520,vladimir putin official dartboard http://t.co/GSjUWSrKQs #crimea #Russia #Ukraine #putin,21377905,2014-03-22 22:46:32+00:00,
447504621612052480,RT @mattholehouse: Hague: Russia using rise of oligarch systems to interfere in southern Europe and Balkans in new front http://t.co/QmR4kM…,1407290828,2014-03-22 22:46:30+00:00,
447504577646977024,Top Stories: Russia moves to consolidate control over Crimea - CNN: CNNRussia moves to consolidate control ove... http://t.co/6pCwbnW6tJ,40021786,2014-03-22 22:46:20+00:00,
447504521066209280,RT @BobRae48: And so it continues...  “@CBCNews: Crimea vote spurs another city to push for joining Russia http://t.co/SzufYj7HhP”,67763905,2014-03-22 22:46:06+00:00,
447504512388173825,"RT @UN: Diplomatic solution is only way to resolve Russia-Ukraine crisis, Ban Ki-moon stresses in Kyiv http://t.co/f9ngQ5AAwt http://t.co/7…",388784489,2014-03-22 22:46:04+00:00,
447504475645702146,Hague attacks 'bullying' Russia over Ukraine | via @Telegraph http://t.co/rSa6kZYpeY,1467122594,2014-03-22 22:45:55+00:00,
447504462610173953,RT @DanielSSchearf: Hotel staff in #Sevastopol says may not accept credit cards from Mon.  Possibly from switch #Ukraine to #Russia banking…,28740858,2014-03-22 22:45:52+00:00,
447504413075058688,Hotel staff in #Sevastopol says may not accept credit cards from Mon.  Possibly from switch #Ukraine to #Russia banking system for #Crimea.,123412288,2014-03-22 22:45:40+00:00,
447504335799586816,"RT @MarquardtA: Today in #Crimea, two #Ukraine bases taken by #Russia forces, along with a sub and a ship. Unclear what else remains in Ukr…",2370803719,2014-03-22 22:45:22+00:00,
447504315016810496,@latimes who's watching Venezuela and Crimea/Ukraine/Russia? @SOSVenezueIa,302056190,2014-03-22 22:45:17+00:00,"{'coordinates': {'type': 'Point', 'coordinates': [-80.37514885, 25.83516246]}, 'place_id': '053ab8e6678199ed'}"
447504273350209538,Contributor @DrJimWalshMIT walks through what he calls the Ukrainian Paradox for @cogwbur. http://t.co/MVYmKEEuiK,2996801,2014-03-22 22:45:07+00:00,
447504138453389312,RT @Revo_Ukraine: Stop paying to aggressor! #Ukraine #Crimea #Russia #Putin #Euromaidan #Maidan http://t.co/KVZUqsndwu,1407290828,2014-03-22 22:44:35+00:00,
447504113505693696,Russian &amp; Ukrainian Bishops agree common spiritual ties of their flock transcend politics &amp; bloodshed - pray.  http://t.co/CeTdWLDOkk,1101289350,2014-03-22 22:44:29+00:00,
447504109764374529,RT @mattholehouse: Hague: Russia using rise of oligarch systems to interfere in southern Europe and Balkans in new front http://t.co/QmR4kM…,127814172,2014-03-22 22:44:28+00:00,
447504020395925504,".@parkermikel Putin could care less but in his own round one, Russia defeated Crimea. Next up...the rest of Ukraine.",464159298,2014-03-22 22:44:07+00:00,
447503938107887616,RT Russia tempts Ukraine soldiers in Crimea http://t.co/mYJkxuLKl3 via @YahooNews @eavesdropann @candicelanier @abc13houston @SenTedCruz,221390502,2014-03-22 22:43:47+00:00,
447503848085917696,Smh theyre here on CNN talking nonstop about a missing plane for weeks while Russia is damn near taking over the Ukraine,2255389172,2014-03-22 22:43:26+00:00,
447503836739936256,RT @sammydodgerocks: Of course we should invade the Ukraine and go to war with Russia. How else can we make sure the future is like the FAL…,414290654,2014-03-22 22:43:23+00:00,
447503825365377025,"RT @JarretHenry: While Russia is taking over Ukraine all Obama can say is "" dang my bracket is busted"" Russia doesn't respect him and nobod…",305366847,2014-03-22 22:43:20+00:00,
447503822274191360,"Freedom of the press is alive and well in today's USSR, don't you think Lenin? #Putin #Crimea #Russia #Ukraine #p2",47677431,2014-03-22 22:43:20+00:00,
447503774513250304,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,2312810112,2014-03-22 22:43:08+00:00,
447503711334858752,"RT @RKacinskas: ""In the End, we will remember not the words of our enemies, but the silence of our friends.” – #martinlutherking | #Ukraine…",844062990,2014-03-22 22:42:53+00:00,
447503709371523072,Russia moves to consolidate control over Crimea  http://t.co/K6kVHXzvEp,937794306,2014-03-22 22:42:53+00:00,
447503642812116992,Ukraine Forces Holding Out as Russia Moves on Crimean... http://t.co/AT8NNy55GS,37492862,2014-03-22 22:42:37+00:00,
447503595395502080,"RT @ForeignPolicy: Sanctions may not change Putin's mind on Crimea, but Ukraine crisis could change investors' mind on Russia. http://t.co/…",1579442311,2014-03-22 22:42:26+00:00,
447503548507381760,Ukraine Military Concedes on Crimea as Russia Takes Hold http://t.co/stx0XpKMqx via @BloombergNews,44101564,2014-03-22 22:42:14+00:00,
447503509433237504,Russia backs OSCE monitors in Ukraine:                 Russia on Saturday expressed hopes for the success o... http://t.co/61y90mnsHs,438397782,2014-03-22 22:42:05+00:00,
447503476567056384,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,32963710,2014-03-22 22:41:57+00:00,
447503443230748672,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,401275875,2014-03-22 22:41:49+00:00,
447503442651930624,"RT ""@EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/bHWgPESuVE""",425230942,2014-03-22 22:41:49+00:00,
447503434808168448,DTN Russia: Ukraine Closes Border with Crimea: Ukrainian border guards closed the exit from the Republic of Cr... http://t.co/OhZkrpr9lv,248811404,2014-03-22 22:41:47+00:00,
447503403716190209,"RT @mashant: When Ukrainian soldiers leave their bases, they meet the likes of General Igor Kozhin - story by @clementzampa http://t.co/fTt…",456043699,2014-03-22 22:41:40+00:00,
447503387836178432,http://t.co/WMYUJICOnp Ukraine crisis: March 21 as it happened http://t.co/WMYUJICOnp ... 2014. • Russia backs... http://t.co/vKl8sjyV4P,634516667,2014-03-22 22:41:36+00:00,
447503284279193600,"RT @EuromaidanPR: On the eastern border with #Ukraine,#Russia accumulates military equipment&amp;weapons,intended exclusively for offensive ope…",2397890569,2014-03-22 22:41:11+00:00,
447503267355164672,"Ukraine plans to die with Russia in atomic bombs. There are so many volunteers. Young men, women and children will not be slaven by Putin.",74428783,2014-03-22 22:41:07+00:00,
447503238875840512,Aw this is just so cute http://t.co/619FO7XCTS #Ukraine #Putin #Russia,89295352,2014-03-22 22:41:01+00:00,
447503171922173953,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,2377303154,2014-03-22 22:40:45+00:00,
447503108865032192,"Eilene buys ASH 97.69: Europe scrambles to break gas dependence on Russia, offers Ukraine military tie -... http://t.co/V80gW8q7If",15349559,2014-03-22 22:40:30+00:00,
447503095879462913,"RT @SlawomirDebski: M.Albright:""Russia’s rhetoric can be described as a fantasy inside a delusion wrapped in a tissue of lies"" http://t.co/…",196686885,2014-03-22 22:40:26+00:00,
447503093148962816,WS Sr. Analyst @MarkGaleotti: “The Ukrainian military has evolved really quite a long way from its Soviet roots.” http://t.co/CkkNHmIzKb,157261736,2014-03-22 22:40:26+00:00,
