id,text,author_id,created_at,geo
447498472410075136,"RT @carlbildt: Russia statement that @OSCE Ukraine mission restricted mandate reflecting ""new legal realities"" not true. It just reflects R…",311664067,2014-03-22 22:22:04+00:00,
447498454957178880,Russia has to invade East Ukraine in order to supply water and electricity to Crimea.,74428783,2014-03-22 22:22:00+00:00,
447498356299157504,Ukraine are pathetic why not fight back against Russia,28635928,2014-03-22 22:21:36+00:00,
447498307448082432,RT @OSW_eng: Russia will probably further pursue subversive action in eastern and southern Ukraine http://t.co/p26EnEbVsw,2378827417,2014-03-22 22:21:25+00:00,
447498301802160128,"U.S., Russia Trade Sanctions -  President Barack Obama speaks on the situation in Ukraine on the South Lawn of the... http://t.co/y6kgDMflkH",1449052304,2014-03-22 22:21:23+00:00,
447498263219150849,Russia continues military buildup along the Crimea border as well as eastern Ukraine. You know something is gonna go down.,312460999,2014-03-22 22:21:14+00:00,
447498227022315521,"RT @art2u2: What kind of Russian Generals are those that #Russia has, that sends their troops to storm an kill a surrounded few with an arm…",165335229,2014-03-22 22:21:06+00:00,
447498144020840449,"RT @georgewillf: Putin is a barbarian, but no Stalin. But he has been coarsened with an almost unimaginably vicious past http://t.co/eWvTeH…",129314386,2014-03-22 22:20:46+00:00,
447498102203633664,"RT @PaulaChertok: Liveblog @Interpreter_Mag at Ukraine's Belbek Base, tho just went offline. Hoping for all's safety. #Crimea #Russia http:…",32483926,2014-03-22 22:20:36+00:00,
447498101579075584,Time to act - Russia has gone too far........... Remember that guy in 1939? #Ukraine #RussianInvasion,47103806,2014-03-22 22:20:36+00:00,
447498082763436033,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,86395110,2014-03-22 22:20:31+00:00,
447498073150070784,Holy shit this russia and ukraine thing needs to be sorted out,224656965,2014-03-22 22:20:29+00:00,
447498049892274176,"BBC News - Ukraine: UK rules out Russia trade curbs? http://t.co/rEo8wtqcMy  The""West can splutter and vilify Putin as much as they please !",24437664,2014-03-22 22:20:23+00:00,
447498044272300032,Feel sorry for Ukraine being treated like crap by Russia,1206307057,2014-03-22 22:20:22+00:00,
447498033908162561,"Watching Russia use force on Ukrainian land like that makes me really sad, support for Ukraine! Crimea is a part of Ukraine!",21823115,2014-03-22 22:20:20+00:00,
447497973002694656,Whats happening in ukraine between them and Russia is not going too end well with whats happened already. #ww3,109327605,2014-03-22 22:20:05+00:00,
447497951372259328,"RT @brithume: This says it all re: Russia, Ukraine &amp; the U.S., at least as things stand now http://t.co/un4iutCg1n",129314386,2014-03-22 22:20:00+00:00,
447497945118953472,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,242361968,2014-03-22 22:19:58+00:00,
447497917129965568,RT @MaximEristavi: Russia vs Ukraine at Belbek military base in Crimea today:  Ukraine's Tank Man  http://t.co/8ezY1HpRn1 via @adagamov,141927001,2014-03-22 22:19:52+00:00,
447497909404061696,"RT @UN: Diplomatic solution is only way to resolve Russia-Ukraine crisis, Ban Ki-moon stresses in Kyiv http://t.co/f9ngQ5AAwt http://t.co/7…",172726603,2014-03-22 22:19:50+00:00,
447497894414024704,"I know the Russia/Ukraine situation is terrible, but, I have to say, some of the headwear they wear is crazy!",359470737,2014-03-22 22:19:46+00:00,
447497886746415104,"@FOX4 i know the anchors dont make up the stories but have a little common sence,the other nite russia invading ukraine was called a dispute",630578118,2014-03-22 22:19:44+00:00,
447497885949513729,"RT @carlbildt: Russia statement that @OSCE Ukraine mission restricted mandate reflecting ""new legal realities"" not true. It just reflects R…",213340831,2014-03-22 22:19:44+00:00,
447497876269432833,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,574859375,2014-03-22 22:19:42+00:00,
447497861715202049,One reason why the Russians care so much about Crimea. http://t.co/vclUTnj4Cq #Russia #Crimea #Ukraine,229975067,2014-03-22 22:19:39+00:00,
447497860826005504,russia and ukraine shit still happening...,2213217192,2014-03-22 22:19:38+00:00,
447497849304252419,!Ukraine: Russia recalls ambassador over ′deterioration′ http://t.co/laA9wOBoqG,1279811647,2014-03-22 22:19:36+00:00,
447497822230028288,"Shit, this Russia/Ukraine thing is a fackin horror story.",2374836343,2014-03-22 22:19:29+00:00,
447497802789048320,#Russian troops storms #Crimea airbase http://t.co/9h3gReDkKq #London #Ukraine #Russia,466553414,2014-03-22 22:19:24+00:00,
447497787043618816,"Biden in Europe to reassure U.S. allies over Russia’s moves in #Ukraine - Tusk, however, expressed... http://t.co/ONbekV8Q6q  #EuropeanUnion",1205265276,2014-03-22 22:19:21+00:00,
447497652888801280,Jake Tapper: White House sources warn Russia may invade eastern Ukraine ‘this weekend’ http://t.co/XXSLybdbmE via @dailycaller,51332560,2014-03-22 22:18:49+00:00,
447497606508199936,RT @GovernmentRF: #Medvedev: Our goal is friendly relations with Ukraine and Russia's other neigbours; we want to avoid escalation #Crimea …,340420292,2014-03-22 22:18:38+00:00,
447497603249606657,"RT @STRATMIL: #Leader.  Colonel Yuli Mamchur - commander of the Belbek Base, #Ukraine Air Force. Now #POW /Russia. http://t.co/wmjDkTaxZ2",200544721,2014-03-22 22:18:37+00:00,
447497535960383488,"Russia has seized control of most of Ukraine's Black Sea fleet, as Ukrainian troops await orders from Kyiv. http://t.co/nsGgF8qPnp",2301580002,2014-03-22 22:18:21+00:00,
447497523796914176,RT @paulwoll: http://t.co/Cy9E1l8tsU  Tapper on CNN says white house concerned Russia could invade south and eastern Ukraine this weekend.,777011756,2014-03-22 22:18:18+00:00,
447497463491203072,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,1289902164,2014-03-22 22:18:04+00:00,
447497462807547905,"RT @mashant: When Ukrainian soldiers leave their bases, they meet the likes of General Igor Kozhin - story by @clementzampa http://t.co/fTt…",128001460,2014-03-22 22:18:03+00:00,
447497408046723072,RT @MeirJa: East #Ukraine rally calls for referendum on joining #Russia http://t.co/2LYtk9vvLv,363724934,2014-03-22 22:17:50+00:00,
447497358394556416,RT @washdcnews: Sunday Talk Preview: Focus on Ukraine and Russia http://t.co/FSZKK2BVCN,18038429,2014-03-22 22:17:39+00:00,
447497350270156800,RT @IAC4RC: Summary of events regarding Russia and Ukraine http://t.co/jffOhLw05F #CampLiberty #CNN #AFP #PMOI #RAJAVI #AP #syria #CampAshr…,2338127161,2014-03-22 22:17:37+00:00,
447497321782456320,RT @W7VOA: Web version of my VOA report: http://t.co/HK3C8Nl7FE #Ukraine #Crimea #Russia,829779132,2014-03-22 22:17:30+00:00,
447497295471595520,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,22177694,2014-03-22 22:17:24+00:00,
447497293701201921,RT @TomFlowers: Russia moves to consolidate control over Crimea  http://t.co/0OWwobtwHf,836305999,2014-03-22 22:17:23+00:00,
447497284608327680,Ukraine: German foreign minister accuses Russia of dividing Europe http://t.co/MbjJlsDoyy via @dw_english,2301580002,2014-03-22 22:17:21+00:00,
447497274600337408,RT @markmackinnon: Worth remembering - Western sanctions are no match for the economic damage Russia could do to Ukraine: http://t.co/nneQB…,134519679,2014-03-22 22:17:19+00:00,
447497268065615872,RT @GlobalPost: On Location Video: Residents fear war as troops mass on Ukraine's eastern border http://t.co/3axrwNnQE2 http://t.co/T3dPRZi…,75190893,2014-03-22 22:17:17+00:00,
447497267332014081,RT @Hanyghoraba: Visa and MasterCard enforce US sanctions on Russian banks  http://t.co/12eVmkDmv4 #Russia #Ukraine #VISA #Mastercard,14799078,2014-03-22 22:17:17+00:00,
447497265813667840,"RT @paulsen_thomas: Question is no longer whether there will be a dividing line in Europe between #NATO / #EU and #Russia, but where. #Crim…",1018878378,2014-03-22 22:17:16+00:00,
447497257492172800,"RT @JSaryuszWolski: ""The partition of Ukraine"" http://t.co/A56wpyDocv",2378827417,2014-03-22 22:17:14+00:00,
447497237543677952,RT @HoustonChron: Russia starts to feel effect of sanctions - http://t.co/y4rIvABoRX #ukraine #crimea http://t.co/PK2RhyrUE9,50404713,2014-03-22 22:17:10+00:00,
447497226420379648,"Opinion #Viewpoints #Cold_War #Crimeia #Russia #Ukraine Despite Rhetoric, Russia and US Can’t Afford Another Cold... http://t.co/WL0GzIgJ2m",2350367216,2014-03-22 22:17:07+00:00,
447497225329844224,"Opinion #Viewpoints #ColdWar #Crimeia #Russia #Ukraine Despite Rhetoric, Russia and US Can’t Afford Another Cold War http://t.co/laTzWLdv4X",2272978051,2014-03-22 22:17:07+00:00,
447497224763604992,"Opinion #Viewpoints #Cold_War #Crimeia #Russia #Ukraine Despite Rhetoric, Russia and US Can’t Afford Another Cold... http://t.co/yTxyM33DhI",2350233150,2014-03-22 22:17:07+00:00,
447497224428077056,"Opinion #Viewpoints #Cold_War #Crimeia #Russia #Ukraine Despite Rhetoric, Russia and US Can’t Afford Another Cold... http://t.co/1PjG8hKnWi",2329382563,2014-03-22 22:17:07+00:00,
447497220397355009,"Opinion #Viewpoints #Cold_War #Crimeia #Russia #Ukraine Despite Rhetoric, Russia and US Can’t Afford Another Cold... http://t.co/4LunKmWyYA",410566588,2014-03-22 22:17:06+00:00,
447497018374889472,didnt know this russia and ukraine stuff was still happening,416162731,2014-03-22 22:16:17+00:00,
447496961990463488,Sunday Talk Preview: Focus on Ukraine and Russia http://t.co/FSZKK2BVCN,59500657,2014-03-22 22:16:04+00:00,
447496895032983552,"RT @UkraineScholars: ""@PaulGoble1: Window on Eurasia: Moscow’s Next Move against #Ukraine May Come from Transdniestria http://t.co/i160AVEg…",165335229,2014-03-22 22:15:48+00:00,
447496886199795712,"Since we're told Ukraine/Russia historically hate each other, why does Ukraine always votes for Russia in Eurovision? http://t.co/XI3WkxzAno",584696875,2014-03-22 22:15:46+00:00,
447496881472819200,RT @Revo_Ukraine: Stop paying to aggressor! #Ukraine #Crimea #Russia #Putin #Euromaidan #Maidan http://t.co/KVZUqsndwu,403322057,2014-03-22 22:15:45+00:00,
