id,text,author_id,created_at,geo
447509291243941888,RT @EugeneVDebs3: Ukraine signs EU trade pact as Russia finalizes Crimea annexation http://t.co/HHB77Lrx1M,64391558,2014-03-22 23:05:04+00:00,
447509243168448512,Summary of events regarding Russia and Ukraine http://t.co/jffOhLw05F #UNAMI #UPI #NBC #UNHCR #Iraq #ABC #FREETHE7 #Iran #FOXNEWS #Aljazeera,1305481388,2014-03-22 23:04:52+00:00,
447509219441651713,@Turchynov @yatzenyuk UN Charter Section 51 Chapter II provides self-defence #Ukraine ships attacked by #Russia pirates PLEASE inform UN,2375882414,2014-03-22 23:04:46+00:00,
447509087178469377,RT @MannfredNikolai: White House responds cautiously to Russian takeover of Crimea air base http://t.co/pQ3ecNyIhM via @guardian,47486584,2014-03-22 23:04:15+00:00,
447509041539842048,RT @RT_com: UK Foreign Secretary calls for new limitations of arms sales against Russia amid Ukraine tensions http://t.co/61ClrQe5jp,1098979471,2014-03-22 23:04:04+00:00,
447509033621413888,"RT @EuromaidanPR: On the eastern border with #Ukraine,#Russia accumulates military equipment&amp;weapons,intended exclusively for offensive ope…",2351815526,2014-03-22 23:04:02+00:00,
447508997479084033,RT @EuropeanUnews: Ukraine signs EU trade pact as Russia finalizes Crimea annexation - CNN http://t.co/OnMJVkXJRp,28401740,2014-03-22 23:03:54+00:00,
447508892420149248,RT @zuk60: #UNCLESAM IS NOT HAPPY ABOUT #UKRAINE? #RUSSIA #CRIMEA #USA #UN #NATO #CAMERON HAS HIS DIRTY FINGER IN THERE AS WELL? http://t.c…,254559139,2014-03-22 23:03:28+00:00,
447508876556918784,RT @conradhackett: Top arms exporters (@SIPRIorg) 1 US 2 Russia 3 Germany 4 China 5 France 6 UK 7 Spain 8 Ukraine 9 Italy 10 Israel http://…,47204272,2014-03-22 23:03:25+00:00,
447508749918683137,Mar 18: Russia killed 1 Ukrainian soldier http://t.co/bCftn9alIq Mar 22: Ukrainian soldier wounded http://t.co/wjwe3ZrZag,27485335,2014-03-22 23:02:54+00:00,
447508731945709569,RT @AFP: 'Come serve!' Russia tempts Ukraine soldiers in Crimea http://t.co/JwKG7vzmGr by @clementzampa http://t.co/6H14or0fi7,1056667404,2014-03-22 23:02:50+00:00,
447508719501201408,RT @ProSyn: “Russia today combines the worst features of capitalism and statism” Read @ambchrishill: http://t.co/qClLZ4AwtE,990009265,2014-03-22 23:02:47+00:00,
447508717123031040,From #Ukraine: The heartbreak of victory; the #fear of Russia - Mar 22 @ 7:02 PM ET http://t.co/AoZOB10by1,100986964,2014-03-22 23:02:47+00:00,
447508672894091265,http://t.co/uSA4PIqtAw Ukraine crisis: March 21 as it happened http://t.co/uSA4PIqtAw ... 2014. • Russia backs... http://t.co/9bxBR0k9CA,704311196,2014-03-22 23:02:36+00:00,
447508672600477696,http://t.co/LtMiqF2Ill Ukraine crisis: March 21 as it happened http://t.co/LtMiqF2Ill ... 2014. • Russia backs... http://t.co/mPoMEkPh4f,704296663,2014-03-22 23:02:36+00:00,
447508649033093120,RT @EuromaidanPR: Who is the enemy of #Ukraine?| PR Post #Russia #Putin #Yanukovych http://t.co/6Kiibq2bmR,20423769,2014-03-22 23:02:30+00:00,
447508610981953536,#Ukraine accuses Russia after deadly clashes in east -  KIEV: Ukrainian authorities accused Russia on Saturday of... http://t.co/r3CfhTHcL1,338465827,2014-03-22 23:02:21+00:00,
447508601590923265,"RT @EuromaidanPR: On the eastern border with #Ukraine,#Russia accumulates military equipment&amp;weapons,intended exclusively for offensive ope…",44504025,2014-03-22 23:02:19+00:00,
447508565134430209,RT @CharlesTPowell: “@anapalacio: The partition of Ukraine http://t.co/7rA97p0GgR”,601157463,2014-03-22 23:02:10+00:00,
447508480933789698,A cyber-economic link to remember. Ukraine and Russian political links to organized crime and cyber crime. http://t.co/flV9lr0u7E,2167192581,2014-03-22 23:01:50+00:00,
447508427174985728,"#insiders nice to see Gerry Henderson so pissed off about #GreenLeft not marching for Russia, Ukraine? that he devotes final words to sneer",748523910,2014-03-22 23:01:38+00:00,
447508415359631360,RT @RT_com: UK Foreign Secretary calls for new limitations of arms sales against Russia amid Ukraine tensions http://t.co/61ClrQe5jp,20715638,2014-03-22 23:01:35+00:00,
447508405947596800,"RT @UN: Diplomatic solution is only way to resolve Russia-Ukraine crisis, Ban Ki-moon stresses in Kyiv http://t.co/f9ngQ5AAwt http://t.co/7…",71203927,2014-03-22 23:01:32+00:00,
447508397298941952,Russia taking over Ukraine...  America crying over their NCAA brackets...,54150131,2014-03-22 23:01:30+00:00,
447508382879330304,"RT @EuromaidanPR: On the eastern border with #Ukraine,#Russia accumulates military equipment&amp;weapons,intended exclusively for offensive ope…",349034933,2014-03-22 23:01:27+00:00,
447508371961565184,"RT @ShoebridgeC: BBC Any Questions today: 4 on panel, all conform to UK #Crimea view. All condemn #Russia, none mention #Kosovo #Iraq or #U…",262302919,2014-03-22 23:01:24+00:00,
447508370124447744,RT @mattholehouse: Hague: Russia using rise of oligarch systems to interfere in southern Europe and Balkans in new front http://t.co/QmR4kM…,86395110,2014-03-22 23:01:24+00:00,
447508366256926721,"RT @liamstack: Russian Force Takes Over Ukrainian Base Next to Airport in Crimea http://t.co/qrU9kRP8nr Crimea ""has become part of Russia""",37884225,2014-03-22 23:01:23+00:00,
447508343008280576,RT @Revo_Ukraine: Stop paying to aggressor! #Ukraine #Crimea #Russia #Putin #Euromaidan #Maidan http://t.co/KVZUqsndwu,754961232,2014-03-22 23:01:17+00:00,
447508331788517376,RT @RT_com: UK Foreign Secretary calls for new limitations of arms sales against Russia amid Ukraine tensions http://t.co/61ClrQe5jp,330196261,2014-03-22 23:01:15+00:00,
447508325874540544,"#Ukraine Prime Minister says that Ukraine is ready to replace Russia in the G8. No disrespect, but that's not how the G8 works...",67323781,2014-03-22 23:01:13+00:00,
447508291355430913,RT @AFP: 'Come serve!' Russia tempts Ukraine soldiers in Crimea http://t.co/JwKG7vzmGr by @clementzampa http://t.co/6H14or0fi7,633880418,2014-03-22 23:01:05+00:00,
447508266650972160,"RT @SlawomirDebski: M.Albright:""Russia’s rhetoric can be described as a fantasy inside a delusion wrapped in a tissue of lies"" http://t.co/…",86395110,2014-03-22 23:00:59+00:00,
447508226821849088,RT @maw75: Ukraine’s foreign minister @AndriiDesh :  The world must reject Russia’s ‘anschluss’ in Crimea - The Washington Post http://t.co…,2370802212,2014-03-22 23:00:50+00:00,
447508187550580736,What will be the outcome of the #EU-#Ukraine-#Russia tug-of-war? http://t.co/cRoSjxRDQT,126681958,2014-03-22 23:00:40+00:00,
447508120059645952,RT @davidfrum: Catherine Ashton says she doesn’t understand why Russia doesn’t support democracy in Ukraine. http://t.co/G0FacgYp7d Such a …,411783438,2014-03-22 23:00:24+00:00,
447508114431279104,"RT @UN: Diplomatic solution is only way to resolve Russia-Ukraine crisis, Ban Ki-moon stresses in Kyiv http://t.co/f9ngQ5AAwt http://t.co/7…",2251889597,2014-03-22 23:00:23+00:00,
447508093430419457,RT @Steiner1776: #Russia #Crimea'n fan art http://t.co/Ygstnvvgf1 XD via @pete_leonard #Ukraine,421244535,2014-03-22 23:00:18+00:00,
447508062677794816,"RT @carlbildt: Russia statement that @OSCE Ukraine mission restricted mandate reflecting ""new legal realities"" not true. It just reflects R…",47290629,2014-03-22 23:00:11+00:00,
447508048144498689,RT @ProSyn: “Russia today combines the worst features of capitalism and statism” Read @ambchrishill: http://t.co/qClLZ4AwtE,376978816,2014-03-22 23:00:07+00:00,
447508044029493248,"RT @paulsen_thomas: Question is no longer whether there will be a dividing line in Europe between #NATO / #EU and #Russia, but where. #Crim…",16049299,2014-03-22 23:00:06+00:00,
447508042938982400,See pro-Russia forces smash gate http://t.co/BiMmwi70hZ via @SocialEddy,522067970,2014-03-22 23:00:06+00:00,
447508028409917440,"Official: #UK and #US are evacuating all non-essential personnel, and recommending citizens leave the #Ukraine / #Russia @StateDept",399670861,2014-03-22 23:00:02+00:00,
447508012857454594,DTN Libya Unrest: Analysts: Russia's Crimea Annexation Threatens Anti-Nuclear Efforts: Ukraine handed its form... http://t.co/mF93WPTIYJ,256999571,2014-03-22 22:59:59+00:00,
447507993924763648,"""Ukraine Crisis in Maps."" NY Times masterful presentation of present &amp; past Ukraine-Crimea-Russia status .http://t.co/65l4FJV2RX",20216828,2014-03-22 22:59:54+00:00,
447507980473606144,"RT @EuromaidanPR: On the eastern border with #Ukraine,#Russia accumulates military equipment&amp;weapons,intended exclusively for offensive ope…",794537204,2014-03-22 22:59:51+00:00,
